designator,quantity,value,pack,mpn,mount_type
 ,1,MountingHole_3.5mm_Pad_TopBottom,MountingHole_3.5mm_Pad_TopBottom,,tht
1,1,1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
1-4,1,XH2.5 01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,tht
2,1,2,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
3,1,3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
4,1,4,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
5,1,5,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
"5-6, 7-8",2,XH2.5 01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,tht
6,1,6,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
7,1,7,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
8,1,8,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,tht
RJ45,1,RJ45,RJ45_Amphenol_54602-x08_Horizontal,,tht
